Rank,CCA3,Country/Territory,2022,2020,2015,2010,2000,1990,1980,1970,Growth Rate,World Population Percentage
6,NGA,Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,1.0241,2.74
75,GIN,Guinea,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,1.0242,0.17
152,GNQ,Equatorial Guinea,1674908,1596049,1346973,1094524,684977,465549,282509,316955,1.0247,0.02
52,CIV,Ivory Coast,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,1.0248,0.35
142,GMB,Gambia,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,1.025,0.03
36,AFG,Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,1.0257,0.52
12,ETH,Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1.0257,1.55
58,BFA,Burkina Faso,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,1.0259,0.28
62,MWI,Malawi,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,1.0259,0.26
72,SEN,Senegal,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,1.0261,0.22
53,CMR,Cameroon,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,1.0263,0.35
126,MRT,Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1.0263,0.06
94,HUN,Hungary,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,1.0265,0.12
32,SDN,Sudan,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1.0267,0.59
78,BDI,Burundi,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,1.027,0.16
77,BEN,Benin,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,1.0274,0.17
48,MOZ,Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,1.0278,0.41
63,ZMB,Zambia,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,1.028,0.25
22,TZA,Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,1.03,0.82
31,UGA,Uganda,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,1.0304,0.59
70,SOM,Somalia,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,1.0312,0.22
59,MLI,Mali,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1.0314,0.28
42,AGO,Angola,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1.0315,0.45
69,TCD,Chad,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1.0316,0.22
182,MYT,Mayotte,326101,305587,249545,211786,159215,92659,52233,35383,1.0319,0
15,COD,DR Congo,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,1.0325,1.24
116,SVK,Slovakia,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,1.0359,0.07
60,SYR,Syria,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,1.0376,0.28
54,NER,Niger,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1.0378,0.33
37,POL,Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,1.0404,0.5
135,MDA,Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,1.0691,0.04
